"number","hanzi","pinyin","meaning","source_pdf_rows"
"60","出租车","chūzūchē","taxi","60"
"61","厨房","chúfáng","kitchen","61"
"62","除了","chúle","except; besides","62"
"63","穿","chuān","to wear; to put on","63"
"64","船","chuán","boat; ship","64"
"65","春","chūn","spring (season)","65"
"66","词语","cíyǔ","word; expression","66"
"67","次","cì","time; occasion (measure word)","67"
"68","聪明","cōngming","clever; smart","68"
"69","从","cóng","from; since","69"
"70","错","cuò","wrong; mistake","70"
"71","打电话","dǎdiànhuà","to make a phone call","71"
"72","打篮球","dǎlánqiú","to play basketball","72"
"73","打扫","dǎsǎo","to clean; to sweep","73"
"74","打算","dǎsuàn","to plan; to intend; plan","74"
"75","大","dà","big; large","75"
"76","大家","dàjiā","everyone; everybody","76"
"77","带","dài","to bring; to take; to carry","77"
"78","担心","dānxīn","to worry; to be worried","78"
"79","蛋糕","dàngāo","cake","79"
"80","但是","dànshì","but; however","80"
"81","当然","dāngrán","of course; certainly","81"
"82","到","dào","to arrive; to reach; to or until","82"
"83","地","de","structural particle marking an adverbial modifier","83"
"84","的","de","possessive or attributive structural particle","84"
"85","得","de","structural particle introducing a complement","85"
"86","灯","dēng","lamp; light","86"
"87","等","děng","to wait; and so on","87"
"88","低","dī","low","88"
"89","弟弟","dìdi","younger brother","89"
"90","地方","dìfang","place; area","90"
"91","地铁","dìtiě","subway; metro","91"
"92","地图","dìtú","map","92"
"93","第一","dìyī","first","93"
"94","点","diǎn","o'clock; point; a little","94"
"95","电脑","diànnǎo","computer","95"
"96","电视","diànshì","television; TV","96"
"97","电梯","diàntī","elevator; lift","97"
"98","电影","diànyǐng","movie; film","98"
"99","电子邮件","diànzǐyóujiàn","email","99"
"100","东","dōng","east","100"
"101","东西","dōngxi","thing; stuff","101"
"102","冬","dōng","winter","102"
"103","懂","dǒng","to understand","103"
"104","动物","dòngwù","animal","104"
"105","都","dōu","all; both","105"
"106","读","dú","to read","106"
"107","短","duǎn","short (in length or time)","107"
"108","段","duàn","section; passage; measure word for sections","108"
"109","锻炼","duànliàn","to exercise; to train; to work out","109"
"110","对","duì","correct; right; toward; to","110"
"111","对不起","duìbuqǐ","sorry","111"
"112","多","duō","many; much; more","112"
"113","多么","duōme","how; so (in exclamations)","113"
"114","多少","duōshao","how many; how much","114"
"115","饿","è","hungry","115"
"116","而且","érqiě","moreover; furthermore; and","116"
"117","儿子","érzi","son","117"
"118","耳朵","ěrduo","ear","118"
"119","二","èr","two","119"
"120","发烧","fāshāo","to have a fever","120"
"121","发现","fāxiàn","to discover; to find","121"
"122","饭馆","fànguǎn","restaurant","122"
"123","方便","fāngbiàn","convenient","123"
"124","房间","fángjiān","room","124"
"125","放","fàng","to put; to place; to release; to let go","125"
"126","放心","fàngxīn","to feel relieved; to rest assured","126"
"127","非常","fēicháng","very; extremely","127"
"128","飞机","fēijī","airplane","128"
"129","分","fēn","minute; part; to divide","129"
"130","分钟","fēnzhōng","minute (unit of time)","130"
"131","服务员","fúwùyuán","waiter or waitress; service worker","131"
"132","附近","fùjìn","nearby; vicinity","132"
"133","复习","fùxí","to review (study material)","133"
"134","干净","gānjìng","clean","134"
"135","敢","gǎn","to dare","135"
"136","感冒","gǎnmào","to catch or have a cold; cold","136"
"137","刚才","gāngcái","just now; a moment ago","137"
"138","高","gāo","tall; high","138"
"139","高兴","gāoxìng","happy; glad","139"
"140","告诉","gàosu","to tell","140"
"141","哥哥","gēge","older brother","141"
"142","个","gè","general measure word","142"
"143","给","gěi","to give; for; to","143"
"144","跟","gēn","with; and; to follow","144"
"145","根据","gēnjù","according to; based on","145"
"146","更","gèng","more; even more","146"
"147","公共汽车","gōnggòngqìchē","bus","147"
"148","公斤","gōngjīn","kilogram","148"
"149","公司","gōngsī","company","149"
"150","公园","gōngyuán","park","150"
"151","工作","gōngzuò","to work; work; job","151"
"152","狗","gǒu","dog","152"
"153","故事","gùshi","story","153"
"154","刮风","guāfēng","to be windy; for the wind to blow","154"
"155","关","guān","to close; to turn off","155"
"156","关系","guānxì","relationship; connection","156"
"157","关心","guānxīn","to care about; to show concern for","157"
"158","关于","guānyú","about; regarding","158"
"159","贵","guì","expensive","159"
"160","国家","guójiā","country; nation","160"
"161","果汁","guǒzhī","fruit juice","161"
"162","过去","guòqù","the past; in the past; to go over or pass","162"
"163","过","guo","experiential aspect particle","163"
"164","还","hái","still; also; yet","164"
"165","还是","háishì","or (in questions); still","165"
"166","孩子","háizi","child; children","166"
"167","害怕","hàipà","to be afraid; to fear","167"
"168","汉语","hànyǔ","Chinese language","168"
"169","好","hǎo","good; well","169"
"170","好吃","hǎochī","delicious; tasty","170"
"171","号","hào","number; date (day of the month)","171"
"172","喝","hē","to drink","172"
"173","和","hé","and; with","173"
"174","河","hé","river","174"
"175","黑","hēi","black","175"
"176","黑板","hēibǎn","blackboard","176"
"177","很","hěn","very","177"
"178","红","hóng","red","178"
"179","后面","hòumiàn","behind; at the back","179"
"180","护照","hùzhào","passport","180"
"181","花","huā","flower; to spend or cost","181"
"182","花园","huāyuán","garden","182"
"183","画","huà","to draw or paint; picture","183"
"184","坏","huài","bad; broken","184"
"185","欢迎","huānyíng","to welcome; welcome","185"
"186","还","huán","to return; to give back","186"
"187","环境","huánjìng","environment; surroundings","187"
"188","换","huàn","to change; to exchange","188"
"189","黄","huáng","yellow","189"
"190","回","huí","to return; to go back","190"
"191","回答","huídá","to answer; to reply","191"
"192","会","huì","can; to know how to; will","192"
"193","会议","huìyì","meeting; conference","193"
"194","火车站","huǒchēzhàn","train station","194"
"195","或者","huòzhě","or (in statements)","195"
"196","机场","jīchǎng","airport","196"
"197","鸡蛋","jīdàn","egg","197"
"198","几乎","jīhū","almost; nearly","198"
"199","机会","jīhuì","opportunity; chance","199"
"200","极","jí","extremely; utmost","200"
"201","几","jǐ","how many; several","201"
"202","记得","jìde","to remember","202"
"203","季节","jìjié","season","203"
"204","家","jiā","home; family; classifier for businesses","204"
"205","检查","jiǎnchá","to check; to inspect","205"
"206","简单","jiǎndān","simple; easy","206"
"207","件","jiàn","item; classifier for clothes, matters, and events","207"
"208","健康","jiànkāng","healthy; health","208"
"209","见面","jiànmiàn","to meet; to see someone","209"
"210","讲","jiǎng","to speak; to explain","210"
"211","教","jiāo","to teach","211"
"212","脚","jiǎo","foot","212"
"213","角","jiǎo","corner; horn; 0.1 yuan","213"
"214","叫","jiào","to be called; to call; to ask someone to","214"
"215","教室","jiàoshì","classroom","215"
"216","接","jiē","to receive; to pick up; to connect","216"
"217","街道","jiēdào","street","217"
"218","结婚","jiéhūn","to marry; to get married","218"
"219","结束","jiéshù","to end; to finish","219"
"220","节目","jiémù","program; show","220"
"221","节日","jiérì","festival; holiday","221"
"222","姐姐","jiějie","older sister","222"
"223","解决","jiějué","to solve; to resolve","223"
"224","借","jiè","to borrow; to lend","224"
"225","介绍","jièshào","to introduce; introduction","225"
"226","今天","jīntiān","today","226"
"227","进","jìn","to enter; to come or go in","227"
"228","近","jìn","near; close","228"
"229","经常","jīngcháng","often; frequently","229"
"230","经过","jīngguò","to pass by; to go through","230"
"231","经理","jīnglǐ","manager","231"
"232","九","jiǔ","nine","232"
"233","久","jiǔ","long (in time)","233"
"234","旧","jiù","old; used; former","234"
"235","就","jiù","then; just; exactly; as early as","235"
"236","举行","jǔxíng","to hold (an event)","236"
"237","句子","jùzi","sentence","237"
"238","觉得","juéde","to feel; to think","238"
"239","决定","juédìng","to decide; decision","239"
"240","咖啡","kāfēi","coffee","240"
"241","开","kāi","to open; to start; to drive","241"
"242","开始","kāishǐ","to begin; to start","242"
"243","看","kàn","to look at; to watch; to read","243"
"244","看见","kànjiàn","to see; to catch sight of","244"
"245","考试","kǎoshì","exam; to take an exam","245"
"246","渴","kě","thirsty","246"
"247","可爱","kě'ài","cute; lovable","247"
"248","可能","kěnéng","possible; perhaps; may","248"
"249","可以","kěyǐ","can; may; to be allowed to","249"
"250","刻","kè","quarter of an hour; moment; to carve","250"
"251","课","kè","class; lesson; course","251"
"252","客人","kèrén","guest; visitor; customer","252"
"253","空调","kōngtiáo","air conditioner; air conditioning","253"
"254","口","kǒu","mouth; classifier for people in a family","254"
"255","哭","kū","to cry; to weep","255"
"256","裤子","kùzi","trousers; pants","256"
"257","块","kuài","piece; chunk; classifier; yuan (informal)","257"
"258","快","kuài","fast; quick; soon","258"
"259","快乐","kuàilè","happy; joyful","259"
"260","筷子","kuàizi","chopsticks","260"
"261","来","lái","to come","261"
"262","蓝","lán","blue","262"
"263","老","lǎo","old; aged","263"
"264","老师","lǎoshī","teacher","264"
"265","了","le","particle marking completion or a change of state","265"
"266","累","lèi","tired","266"
"267","冷","lěng","cold","267"
"268","离","lí","from; away from (expressing distance)","268"
"269","离开","líkāi","to leave; to depart from","269"
"270","里","lǐ","inside; in","270"
"271","礼物","lǐwù","gift; present","271"
"272","历史","lìshǐ","history","272"
"273","脸","liǎn","face","273"
"274","练习","liànxí","to practise; exercise","274"
"275","两","liǎng","two (used before classifiers)","275"
"276","辆","liàng","classifier for vehicles","276"
"277","了解","liǎojiě","to understand; to learn about","277"
"278","邻居","línjū","neighbour","278"
"279","零","líng","zero","279"
"280","六","liù","six","280"
"281","楼","lóu","building; floor; storey","281"
"282","路","lù","road; route; way","282"
"283","旅游","lǚyóu","to travel; tourism","283"
"284","绿","lǜ","green","284"
"285","妈妈","māma","mother; mum","285"
"286","马","mǎ","horse","286"
"287","马上","mǎshàng","immediately; right away","287"
"288","吗","ma","particle forming a yes–no question","288"
"289","买","mǎi","to buy","289"
"290","卖","mài","to sell","290"
"291","满意","mǎnyì","satisfied; pleased","291"
"292","慢","màn","slow","292"
"293","忙","máng","busy","293"
"294","猫","māo","cat","294"
"295","帽子","màozi","hat; cap","295"
"296","没","méi","not have; there is/are no; did not; have not","296"
"297","没关系","méiguānxi","it does not matter; no problem","297"
"298","每","měi","every; each","298"
"299","妹妹","mèimei","younger sister","299"
"300","门","mén","door; gate; classifier for courses","300"
"301","米","mǐ","rice; metre","301"
"302","米饭","mǐfàn","cooked rice","302"
"303","面包","miànbāo","bread","303"
"304","面条","miàntiáo","noodles","304"
"305","明白","míngbai","to understand; clear","305"
"306","明天","míngtiān","tomorrow","306"
"307","名字","míngzi","name","307"
"308","拿","ná","to take; to hold; to bring","308"
"309","哪 / 哪儿","nǎ / nǎr","which; where","309+310"
"310","那 / 那儿","nà / nàr","that; then; in that case; there","311+312"
"311","奶奶","nǎinai","paternal grandmother; grandma","313"
"312","南","nán","south","314"
"313","男人","nánrén","man; male","315"
"314","难","nán","difficult; hard","316"
"315","难过","nánguò","sad; upset; to feel bad","317"
"316","呢","ne","particle for follow-up questions or ongoing actions","318"
"317","能","néng","can; to be able to","319"
"318","你","nǐ","you","320"
"319","年","nián","year","321"
"320","年级","niánjí","grade; year in school","322"
"321","年轻","niánqīng","young","323"
"322","鸟","niǎo","bird","324"
"323","您","nín","you (polite)","325"
"324","牛奶","niúnǎi","milk","326"
"325","努力","nǔlì","to work hard; hardworking","327"
"326","女儿","nǚ'ér","daughter","328"
"327","女人","nǚrén","woman","329"
"328","爬山","páshān","to climb a mountain; to go hiking","330"
"329","盘子","pánzi","plate; dish","331"
"330","旁边","pángbiān","beside; next to; side","332"
"331","胖","pàng","fat; overweight","333"
"332","跑步","pǎobù","to run; to jog","334"
"333","朋友","péngyou","friend","335"
"334","啤酒","píjiǔ","beer","336"
"335","便宜","piányi","cheap; inexpensive","337"
"336","票","piào","ticket","338"
"337","漂亮","piàoliang","pretty; beautiful","339"
"338","苹果","píngguǒ","apple","340"
"339","葡萄","pútao","grape; grapes","341"
"340","普通话","pǔtōnghuà","Standard Mandarin","342"
"341","七","qī","seven","343"
"342","妻子","qīzi","wife","344"
"343","其实","qíshí","actually; in fact","345"
"344","其他","qítā","other; others","346"
"345","骑","qí","to ride (a bicycle, horse, etc.)","347"
"346","起床","qǐchuáng","to get up; to get out of bed","348"
"347","千","qiān","thousand","349"
"348","铅笔","qiānbǐ","pencil","350"
"349","钱","qián","money","351"
"350","前面","qiánmiàn","in front; ahead; the front","352"
"351","清楚","qīngchu","clear; clearly; to understand fully","353"
"352","晴","qíng","clear and sunny","354"
"353","请","qǐng","please; to ask; to invite; to treat","355"
"354","秋","qiū","autumn; fall","356"
"355","去","qù","to go","357"
"356","奇怪","qíguài","strange; odd; to find strange","358"
"357","去年","qùnián","last year","359"
"358","裙子","qúnzi","skirt","360"
"359","然后","ránhòu","then; afterwards","361"
"360","让","ràng","to let; to allow; to make someone do something","362"
"361","热","rè","hot; heat","363"
"362","热情","rèqíng","enthusiastic; warm and friendly","364"
"363","人","rén","person; people","365"
"364","认识","rènshi","to know; to recognise; to become acquainted with","366"
"365","认为","rènwéi","to think; to believe; to consider","367"
"366","认真","rènzhēn","serious; conscientious; earnestly","368"
"367","日","rì","day; date (formal or written)","369"
"368","容易","róngyì","easy; likely to","370"
"369","如果","rúguǒ","if; in case","371"
"370","三","sān","three","372"
"371","伞","sǎn","umbrella","373"
"372","商店","shāngdiàn","shop; store","374"
"373","上","shàng","up; on; above; to go up","375"
"374","上班","shàngbān","to go to work; to be at work","376"
"375","上网","shàngwǎng","to go online; to use the internet","377"
"376","上午","shàngwǔ","morning; before noon","378"
"377","少","shǎo","few; little; less","379"
"378","谁","shéi","who; whom","380"
"379","身体","shēntǐ","body; health","381"
"380","什么","shénme","what; anything","382"
"381","生病","shēngbìng","to become ill; to be sick","383"
"382","生气","shēngqì","to get angry; angry","384"
"383","生日","shēngrì","birthday","385"
"384","声音","shēngyīn","sound; voice","386"
"385","十","shí","ten","387"
"386","时候","shíhou","time; moment; when","388"
"387","时间","shíjiān","time; period","389"
"388","使","shǐ","to make; to cause; to enable","390"
"389","是","shì","to be; yes","391"
"390","世界","shìjiè","world","392"
"391","事情","shìqing","matter; affair; thing","393"
"392","手表","shǒubiǎo","wristwatch","394"
"393","手机","shǒujī","mobile phone; cell phone","395"
"394","瘦","shòu","thin; slim","396"
"395","书","shū","book","397"
"396","舒服","shūfu","comfortable; to feel well","398"
"397","叔叔","shūshu","uncle; a polite term for an older man","399"
"398","树","shù","tree","400"
"399","数学","shùxué","mathematics","401"
"400","刷牙","shuāyá","to brush one's teeth","402"
"401","双","shuāng","pair; double; classifier for pairs","403"
"402","水","shuǐ","water","404"
"403","水果","shuǐguǒ","fruit","405"
"404","水平","shuǐpíng","level; standard; proficiency","406"
"405","睡觉","shuìjiào","to sleep; to go to bed","407"
"406","说话","shuōhuà","to speak; to talk","408"
"407","司机","sījī","driver","409"
"408","四","sì","four","410"
"409","送","sòng","to give as a gift; to deliver; to see someone off","411"
"410","虽然","suīrán","although; though","412"
"411","岁","suì","years old; classifier for age","413"
"412","所以","suǒyǐ","so; therefore","414"
"413","他","tā","he; him","415"
"414","她","tā","she; her","416"
"415","它","tā","it","417"
"416","太","tài","too; extremely; very","418"
"417","太阳","tàiyáng","sun","419"
"418","糖","táng","sugar; candy","420"
"419","特别","tèbié","special; especially","421"
"420","疼","téng","to hurt; to ache; painful","422"
"421","踢足球","tīzúqiú","to play football; to play soccer","423"
"422","题","tí","question; problem; topic","424"
"423","提高","tígāo","to improve; to raise; to increase","425"
"424","体育","tǐyù","physical education; sports","426"
"425","天气","tiānqì","weather","427"
"426","甜","tián","sweet","428"
"427","条","tiáo","classifier for long, narrow things; strip","429"
"428","跳舞","tiàowǔ","to dance","430"
"429","听","tīng","to listen; to hear","431"
"430","同事","tóngshì","colleague; coworker","432"
"431","同学","tóngxué","classmate; fellow student","433"
"432","同意","tóngyì","to agree; to consent","434"
"433","头发","tóufa","hair","435"
"434","突然","tūrán","sudden; suddenly","436"
"435","图书馆","túshūguǎn","library","437"
"436","腿","tuǐ","leg","438"
"437","外","wài","outside; external; foreign","439"
"438","完","wán","to finish; to be over; completion result complement","440"
"439","完成","wánchéng","to complete; to finish","441"
"440","玩","wán","to play; to have fun","442"
"441","碗","wǎn","bowl; classifier for bowlfuls","443"
"442","晚上","wǎnshang","evening; night","444"
"443","万","wàn","ten thousand","445"
"444","忘记","wàngjì","to forget","446"
"445","喂","wèi","hello? (on the phone); to feed","447"
"446","为","wèi","for; on behalf of; because of","448"
"447","为了","wèile","in order to; for the sake of","449"
"448","为什么","wèishénme","why","450"
"449","位","wèi","polite classifier for people; position","451"
"450","文化","wénhuà","culture","452"
"451","问","wèn","to ask; to inquire","453"
"452","问题","wèntí","question; problem; issue","454"
"453","我","wǒ","I; me","455"
"454","我们","wǒmen","we; us","456"
"455","五","wǔ","five","457"
"456","西","xī","west","458"
"457","西瓜","xīguā","watermelon","459"
"458","希望","xīwàng","to hope; to wish; hope","460"
"459","习惯","xíguàn","habit; to be accustomed to","461"
"460","洗","xǐ","to wash","462"
"461","洗手间","xǐshǒujiān","restroom; toilet","463"
"462","洗澡","xǐzǎo","to bathe; to take a shower","464"
"463","喜欢","xǐhuan","to like; to be fond of","465"
"464","下","xià","below; down; next; to get off; classifier for brief actions","466"
"465","下午","xiàwǔ","afternoon","467"
"466","下雨","xiàyǔ","rain; to rain","468"
"467","夏","xià","summer","469"
"468","先","xiān","first; beforehand","470"
"469","先生","xiānsheng","Mr.; sir; husband","471"
"470","现在","xiànzài","now; at present","472"
"471","香蕉","xiāngjiāo","banana","473"
"472","相同","xiāngtóng","same; identical","474"
"473","相信","xiāngxìn","to believe; to trust","475"
"474","想","xiǎng","to want to; to think; to miss","476"
"475","向","xiàng","toward; to; facing","477"
"476","像","xiàng","to resemble; to be like","478"
"477","小","xiǎo","small; little; young","479"
"478","小姐","xiǎojiě","Miss; young lady","480"
"479","小时","xiǎoshí","hour","481"
"480","小心","xiǎoxīn","to be careful; watch out","482"
"481","笑","xiào","to laugh; to smile","483"
"482","校长","xiàozhǎng","school principal; headteacher","484"
"483","些","xiē","some; a few","485"
"484","鞋","xié","shoe; shoes","486"
"485","写","xiě","to write","487"
"486","谢谢","xièxie","thank you; thanks","488"
"487","新","xīn","new","489"
"488","新闻","xīnwén","news","490"
"489","新鲜","xīnxiān","fresh","491"
"490","信","xìn","letter; to believe; to trust","492"
"491","星期","xīngqī","week","493"
"492","行李箱","xínglixiāng","suitcase","494"
"493","姓","xìng","surname; to be surnamed","495"
"494","兴趣","xìngqù","interest","496"
"495","熊猫","xióngmāo","panda","497"
"496","休息","xiūxi","to rest; to take a break","498"
"497","需要","xūyào","to need; to require","499"
"498","选择","xuǎnzé","to choose; choice","500"
"499","学生","xuésheng","student","501"
"500","学习","xuéxí","to study; to learn","502"
"501","学校","xuéxiào","school","503"
"502","雪","xuě","snow","504"
"503","颜色","yánsè","colour","505"
"504","眼镜","yǎnjìng","glasses; spectacles","506"
"505","眼睛","yǎnjing","eye; eyes","507"
"506","羊肉","yángròu","mutton; lamb","508"
"507","要求","yāoqiú","to require; to request; requirement","509"
"508","药","yào","medicine; drug","510"
"509","要","yào","to want; to need; must; going to","511"
"510","爷爷","yéye","paternal grandfather; grandpa","512"
"511","也","yě","also; too","513"
"512","一","yī","one","514"
"513","衣服","yīfu","clothes; clothing","515"
"514","医生","yīshēng","doctor; physician","516"
"515","医院","yīyuàn","hospital","517"
"516","一定","yídìng","certainly; definitely; must","518"
"517","一共","yígòng","altogether; in total","519"
"518","一会儿","yíhuìr","a moment; a little while; in a moment","520"
"519","一样","yíyàng","same; alike","521"
"520","以后","yǐhòu","after; later; in the future","522"
"521","以前","yǐqián","before; formerly","523"
"522","以为","yǐwéi","to mistakenly think; to assume","524"
"523","已经","yǐjīng","already","525"
"524","椅子","yǐzi","chair","526"
"525","一般","yìbān","ordinary; generally; average","527"
"526","一边","yìbiān","one side; while doing two actions simultaneously","528"
"527","一起","yìqǐ","together","529"
"528","一直","yìzhí","continuously; all along; straight","530"
"529","意思","yìsi","meaning; idea","531"
"530","阴","yīn","cloudy; overcast","532"
"531","因为","yīnwèi","because","533"
"532","音乐","yīnyuè","music","534"
"533","银行","yínháng","bank","535"
"534","应该","yīnggāi","should; ought to","536"
"535","影响","yǐngxiǎng","to affect; influence; effect","537"
"536","用","yòng","to use","538"
"537","游戏","yóuxì","game","539"
"538","游泳","yóuyǒng","to swim; swimming","540"
"539","有","yǒu","to have; there is; there are","541"
"540","有名","yǒumíng","famous; well-known","542"
"541","又","yòu","again; also; both…and… (paired construction)","543"
"542","右边","yòubian","right side; to the right","544"
"543","鱼","yú","fish","545"
"544","遇到","yùdào","to meet; to encounter; to come across","546"
"545","元","yuán","yuan; unit of Chinese currency","547"
"546","远","yuǎn","far; distant","548"
"547","愿意","yuànyì","to be willing; would like to","549"
"548","月","yuè","month","550"
"549","月亮","yuèliang","moon","551"
"550","越","yuè","the more…the more…; increasingly (paired comparative)","552"
"551","云","yún","cloud","553"
"552","运动","yùndòng","exercise; sports; to exercise","554"
"553","在","zài","at; in; on; to be located; ongoing-action marker","555"
"554","再","zài","again; then (for an action not yet done)","556"
"555","再见","zàijiàn","goodbye; see you again","557"
"556","早上","zǎoshang","morning","558"
"557","怎么","zěnme","how","559"
"558","怎么样","zěnmeyàng","how; how about; what … is like","560"
"559","站","zhàn","to stand; station; stop","561"
"560","张","zhāng","classifier for flat objects; sheet; piece","562"
"561","长","zhǎng","to grow; to develop","563"
"562","丈夫","zhàngfu","husband","564"
"563","着急","zháojí","worried; anxious; to worry","565"
"564","找","zhǎo","to look for; to find","566"
"565","照顾","zhàogù","to look after; to take care of","567"
"566","照片","zhàopiàn","photograph; photo","568"
"567","照相机","zhàoxiàngjī","camera","569"
"568","这 / 这儿","zhè / zhèr","this; these; here","570+571"
"569","着","zhe","aspect particle indicating a continuing state or action","572"
"570","真","zhēn","really; truly; genuine","573"
"571","正在","zhèngzài","in the process of; currently doing","574"
"572","知道","zhīdào","to know; to be aware of","575"
"573","只","zhǐ","only; just","576"
"574","中国","zhōngguó","China","577"
"575","中间","zhōngjiān","middle; centre; between","578"
"576","中午","zhōngwǔ","noon; midday","579"
"577","终于","zhōngyú","finally; at last","580"
"578","种","zhǒng","kind; type; species; classifier for kinds","581"
"579","重要","zhòngyào","important","582"
"580","周末","zhōumò","weekend","583"
"581","主要","zhǔyào","main; principal; chiefly","584"
"582","住","zhù","to live; to reside; to stay","585"
"583","祝","zhù","to wish; to express good wishes","586"
"584","注意","zhùyì","to pay attention to; to take note of","587"
"585","准备","zhǔnbèi","to prepare; to get ready","588"
"586","桌子","zhuōzi","table; desk","589"
"587","字","zì","written character; Chinese character","590"
"588","字典","zìdiǎn","dictionary","591"
"589","自己","zìjǐ","oneself; self","592"
"590","自行车","zìxíngchē","bicycle; bike","593"
"591","总是","zǒngshì","always","594"
"592","走","zǒu","to walk; to go; to leave","595"
"593","最","zuì","most; -est","596"
"594","最近","zuìjìn","recently; lately; most recent","597"
"595","昨天","zuótiān","yesterday","598"
"596","左边","zuǒbian","left side; to the left","599"
"597","坐","zuò","to sit; to take or ride in a vehicle","600"
"598","做","zuò","to do; to make","601"
"599","作业","zuòyè","homework; schoolwork","602"
"600","作用","zuòyòng","effect; function; role","603"
